time_s,front_y_px_raw,front_y_px_smooth
0.0,343.0,343.0
0.04,350.0,315.5
0.08,288.0,288.0
0.12,209.0,264.5
0.16,240.5,264.5
0.2,264.5,240.5
0.24,342.0,264.5
0.28,217.0,302.0
0.32,302.0,339.0
0.36,339.0,339.0
0.4,340.0,340.0
0.44,352.5,352.5
0.48,359.0,359.0
0.52,359.0,359.0
0.56,359.0,359.0
0.6,359.0,359.0
0.64,359.0,359.0
0.68,359.0,359.0
0.72,359.0,359.0
0.76,359.0,359.0
0.8,359.0,359.0
0.84,359.0,359.0
0.88,359.0,359.0
0.92,359.0,359.0
0.96,359.0,359.0
1.0,359.0,359.0
1.04,359.0,359.0
1.08,359.0,359.0
1.12,359.0,359.0
1.16,359.0,359.0
1.2,359.0,359.0
1.24,359.0,359.0
1.28,359.0,359.0
1.32,359.0,359.0
1.36,359.0,359.0
1.4,359.0,359.0
1.44,359.0,359.0
1.48,359.0,359.0
1.52,359.0,359.0
1.56,359.0,359.0
1.6,133.0,155.0
1.64,137.0,155.0
1.68,155.0,155.0
1.72,226.5,226.5
1.76,359.0,317.0
1.8,317.0,359.0
1.84,359.0,359.0
1.88,359.0,338.0
1.92,19.0,359.0
1.96,,189.0
2.0,,19.0
2.04,,
2.08,,
2.12,,
2.16,,
2.2,,
2.24,,
2.28,,16.0
2.32,,16.5
2.36,16.0,16.5
2.4,17.0,16.75
2.44,16.5,17.0
2.48,17.0,17.0
2.52,17.0,17.0
2.56,17.0,17.0
2.6,17.0,17.0
2.64,17.0,17.0
2.68,17.0,17.0
2.72,18.0,18.0
2.76,18.0,18.0
2.8,18.0,18.0
2.84,18.0,18.0
2.88,18.0,18.0
2.92,18.0,18.0
2.96,18.0,18.0
3.0,18.0,18.0
3.04,18.0,18.0
3.08,16.5,16.5
3.12,16.0,16.0
3.16,16.0,16.0
3.2,15.0,16.0
3.24,18.0,16.0
3.28,18.0,16.0
3.32,15.0,16.0
3.36,16.0,16.0
3.4,15.0,16.0
3.44,16.0,16.0
3.48,17.0,17.0
3.52,17.0,17.0
3.56,17.0,17.0
3.6,17.0,17.0
3.64,15.0,17.0
3.68,18.0,15.0
3.72,15.0,15.0
3.76,15.0,18.0
3.8,18.0,18.0
3.84,19.0,19.0
3.88,21.0,20.0
3.92,20.0,21.0
3.96,21.0,21.0
4.0,21.0,21.0
4.04,21.0,21.0
4.08,22.0,22.0
4.12,22.0,22.0
4.16,22.0,22.0
4.2,23.0,23.0
4.24,25.0,25.0
4.28,26.0,26.0
4.32,27.0,27.0
4.36,27.0,27.0
4.4,127.0,127.0
4.44,137.5,137.5
4.48,147.0,147.0
4.52,153.0,153.0
4.56,159.0,159.0
4.6,166.0,166.0
4.64,169.0,169.0
4.68,169.0,169.0
4.72,175.0,175.0
4.76,178.0,178.0
4.8,182.0,182.0
4.84,183.0,183.0
4.88,187.0,187.0
4.92,188.0,188.0
4.96,191.0,191.0
5.0,196.0,196.0
5.04,198.0,198.0
5.08,199.0,199.0
5.12,203.0,203.0
5.16,208.0,208.0
5.2,215.0,211.0
5.24,211.0,215.0
5.28,215.0,215.0
5.32,216.0,216.0
5.36,224.0,224.0
5.4,242.5,242.5
5.44,316.0,316.0
5.48,317.0,317.0
5.52,359.0,359.0
5.56,359.0,359.0
5.6,359.0,359.0
5.64,359.0,359.0
5.68,359.0,359.0
5.72,359.0,359.0
5.76,359.0,359.0
5.8,359.0,359.0
5.84,359.0,359.0
5.88,359.0,359.0
5.92,359.0,359.0
5.96,359.0,359.0
6.0,359.0,359.0
6.04,359.0,359.0
6.08,359.0,359.0
6.12,359.0,359.0
6.16,359.0,359.0
6.2,359.0,359.0
6.24,359.0,359.0
6.28,359.0,359.0
6.32,359.0,359.0
6.36,359.0,359.0
6.4,359.0,359.0
6.44,359.0,359.0
6.48,359.0,359.0
6.52,359.0,359.0
6.56,359.0,359.0
6.6,359.0,359.0
6.64,359.0,359.0
6.68,359.0,359.0
6.72,359.0,359.0
6.76,359.0,359.0
6.8,359.0,359.0
6.84,359.0,359.0
6.88,359.0,359.0
6.92,359.0,359.0
6.96,359.0,359.0
7.0,359.0,359.0
7.04,359.0,359.0
7.08,359.0,359.0
7.12,359.0,359.0
7.16,359.0,359.0
7.2,359.0,359.0
7.24,359.0,359.0
7.28,359.0,359.0
7.32,359.0,359.0
7.36,359.0,359.0
7.4,359.0,359.0
7.44,359.0,359.0
7.48,323.0,325.5
7.52,324.0,325.0
7.56,325.5,324.0
7.6,325.0,324.0
7.64,303.0,303.0
7.68,301.0,301.0
7.72,240.5,241.0
7.76,241.0,240.5
7.8,240.5,240.5
7.84,240.0,240.0
7.88,232.0,232.0
7.92,231.0,232.0
7.96,232.0,232.0
8.0,232.0,231.0
8.04,219.0,219.0
8.08,217.0,217.0
8.12,211.0,212.0
8.16,209.0,211.0
8.2,212.0,210.0
8.24,210.0,209.0
8.28,205.0,205.0
8.32,205.0,205.0
8.36,205.0,205.0
8.4,205.0,205.0
8.44,204.0,204.0
8.48,204.0,204.0
8.52,201.0,201.0
8.56,201.0,201.0
8.6,200.0,200.0
8.64,200.0,200.0
8.68,200.0,200.0
8.72,201.0,200.0
8.76,200.0,200.0
8.8,200.0,200.0
8.84,200.0,200.0
8.88,200.0,200.0
8.92,200.0,200.0
8.96,201.0,200.0
9.0,200.5,200.5
9.04,200.0,201.0
9.08,201.0,201.0
9.12,201.0,201.0
9.16,201.0,201.0
9.2,201.0,201.0
9.24,201.0,201.0
9.28,203.0,203.0
9.32,207.0,207.0
9.36,211.0,211.0
9.4,222.0,222.0
9.44,232.0,232.0
9.48,238.5,238.5
9.52,246.0,246.0
9.56,311.5,311.5
9.6,324.0,324.0
9.64,326.0,326.0
9.68,329.0,326.0
9.72,326.0,327.0
9.76,327.0,329.0
9.8,334.0,327.0
9.84,337.0,327.0
9.88,320.0,325.5
9.92,323.0,325.5
9.96,325.5,323.0
10.0,339.0,323.0
10.04,317.0,325.5
10.08,319.0,339.0
10.12,359.0,359.0
10.16,359.0,359.0
10.2,359.0,359.0
10.24,359.0,359.0
10.28,359.0,359.0
10.32,359.0,359.0
10.36,359.0,359.0
10.4,359.0,359.0
10.44,359.0,359.0
10.48,359.0,359.0
10.52,359.0,359.0
10.56,359.0,359.0
10.6,359.0,359.0
10.64,359.0,359.0
